Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.08     0.00     1000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<bool, std::allocator<bool> > const*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > >::base() const
  0.00      2.08     0.00     1000     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      2.08     0.00      999     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  0.00      2.08     0.00      999     0.00     0.00  __gnu_cxx::new_allocator<bool>::~new_allocator()
  0.00      2.08     0.00      999     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      2.08     0.00      999     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      2.08     0.00      999     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      2.08     0.00      999     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::_M_max_size() const
  0.00      2.08     0.00      999     0.00     0.00  std::allocator<bool>::~allocator()
  0.00      2.08     0.00      999     0.00     0.00  std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)
  0.00      2.08     0.00      999     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long)
  0.00      2.08     0.00      999     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long> const&)
  0.00      2.08     0.00      999     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00      2.08     0.00      999     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00      2.08     0.00      999     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset()
  0.00      2.08     0.00      999     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&)
